Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
314,Thomas Bryant,27,2TM,C,35,3,14.3,2.5,4.7,0.518,0.8,2.1,0.378,1.7,2.6,0.63,0.602,0.8,0.9,0.871,1.4,2.5,3.9,1,0.5,0.6,0.4,0.9,6.5,
315,Thomas Bryant,27,MIA,C,10,0,11.5,1.2,2.8,0.429,0.6,1.7,0.353,0.6,1.1,0.545,0.536,1.1,1.1,1,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,
316,Thomas Bryant,27,IND,C,25,3,15.5,3,5.5,0.536,0.9,2.3,0.386,2.1,3.2,0.642,0.616,0.6,0.8,0.8,1.7,2.4,4.2,1.2,0.6,0.5,0.4,0.9,7.4,
317,Precious Achiuwa,25,NYK,C,31,4,20.9,2.7,5,0.538,0.3,0.7,0.364,2.5,4.3,0.567,0.564,0.7,1.2,0.605,2.1,3.7,5.8,1.1,1,0.7,0.8,1.6,6.4,
318,Isaiah Collier,20,UTA,PG,43,18,23.1,2.6,6.6,0.399,0.4,2.1,0.207,2.2,4.4,0.492,0.433,0.7,1.1,0.646,0.4,2.6,3,5.6,0.8,0.2,2.7,2.2,6.4,
319,Simone Fontecchio,29,DET,SF,47,0,17.7,2.1,5.4,0.393,1.1,3.3,0.333,1,2,0.49,0.496,1.1,1.3,0.82,0.7,2.2,2.9,0.9,0.4,0.2,0.8,1.3,6.4,
320,Haywood Highsmith,28,MIA,SF,48,39,23.9,2.4,5.2,0.468,1.2,3,0.39,1.2,2.1,0.578,0.583,0.4,0.5,0.692,0.8,2.3,3.1,1.2,0.9,0.6,0.7,2,6.4,
321,Trey Lyles,29,SAC,PF,42,2,19.4,2.2,5.5,0.397,1.3,3.8,0.335,0.9,1.8,0.527,0.511,0.8,1,0.75,1,3.5,4.6,1,0.6,0.5,0.5,1.2,6.4,
322,KJ Martin,24,PHI,PF,24,7,20,2.5,4.1,0.616,0.3,0.9,0.381,2.2,3.3,0.679,0.657,1,1.2,0.828,0.9,2.1,3,0.8,0.5,0.7,0.5,2.6,6.4,
323,Ajay Mitchell,22,OKC,SG,34,1,16.5,2.5,4.9,0.506,0.6,1.5,0.431,1.8,3.4,0.539,0.572,0.8,1,0.848,0.5,1.5,2,1.7,0.7,0.1,0.8,1.7,6.4,
324,Kyle Filipowski,21,UTA,C,41,9,18.2,2.4,4.8,0.495,0.6,1.9,0.312,1.8,2.9,0.613,0.556,1,1.5,0.619,1.3,3.6,4.9,1.9,0.5,0.1,1,1.9,6.3,
325,Ron Holland,19,DET,SF,52,1,15.5,2.4,5.3,0.453,0.5,2.1,0.262,1.9,3.3,0.574,0.504,1,1.2,0.797,0.5,2.2,2.7,0.8,0.6,0.1,0.9,1.8,6.3,
326,Davion Mitchell,26,TOR,PG,44,22,24.5,2.4,5.5,0.434,1,2.7,0.359,1.5,2.9,0.504,0.52,0.6,0.8,0.676,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,6.3,
327,Matas Buzelis,20,CHI,SF,51,2,14.5,2.2,5.1,0.435,0.9,2.4,0.363,1.3,2.7,0.5,0.521,0.8,1.1,0.796,0.6,2.2,2.9,0.5,0.3,0.9,0.6,1.5,6.2,
328,Ben Simmons,28,BRK,PG,33,24,25,2.8,5.2,0.547,0,0,,2.8,5.2,0.547,0.547,0.5,0.8,0.692,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,6.2,
329,KJ Simpson,22,CHO,PG,19,1,18,2.2,6.8,0.318,0.6,3,0.211,1.5,3.8,0.403,0.364,1.3,1.6,0.8,1.1,1.2,2.3,2.3,0.7,0.2,1.1,1.5,6.2,
330,Dru Smith,27,MIA,SG,14,1,19.1,2.2,4.4,0.508,1.1,2.1,0.533,1.1,2.2,0.484,0.639,0.6,0.9,0.75,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2,
331,Shake Milton,28,2TM,SG,40,1,16.3,2.2,4.8,0.458,0.8,2.2,0.36,1.4,2.7,0.538,0.539,0.9,1.2,0.783,0.5,1.4,1.9,2.2,0.5,0.1,0.7,1.4,6.1,
332,Shake Milton,28,BRK,SG,27,1,18.2,2.7,5.8,0.465,1,2.7,0.389,1.7,3.1,0.529,0.554,0.9,1.2,0.758,0.6,1.3,1.9,2.4,0.6,0,0.7,1.6,7.4,
333,Shake Milton,28,LAL,SG,13,0,12.2,1.2,2.7,0.429,0.2,1.1,0.214,0.9,1.6,0.571,0.471,0.8,1,0.846,0.3,1.5,1.8,1.7,0.2,0.2,0.7,1,3.4,
334,Jonathan Isaac,27,ORL,PF,48,0,16.6,2.2,5.3,0.415,0.6,2.5,0.256,1.5,2.8,0.561,0.476,1,1.6,0.667,1.9,3,4.9,0.5,0.8,1.2,0.4,1.4,6.1,
335,Jarace Walker,21,IND,PF,49,1,16.7,2.2,4.8,0.46,0.9,2.5,0.369,1.3,2.3,0.557,0.555,0.8,1.2,0.638,0.4,2.9,3.2,1.4,0.9,0.4,1.1,1.7,6.1,
336,Terance Mann,28,2TM,SG,38,12,19.9,2.3,5.3,0.445,0.7,2,0.347,1.7,3.3,0.504,0.51,0.6,0.9,0.676,0.8,2,2.8,1.6,0.7,0.3,0.7,1.9,6,
337,Terance Mann,28,LAC,SG,37,12,19.8,2.4,5.3,0.446,0.7,2,0.347,1.6,3.2,0.508,0.513,0.6,0.9,0.719,0.9,2,2.9,1.6,0.8,0.3,0.7,1.8,6,
338,Terance Mann,28,ATL,SG,1,0,25,2,5,0.4,0,0,,2,5,0.4,0.4,0,2,0,0,1,1,3,0,0,1,3,4,
339,Dean Wade,28,CLE,PF,35,26,22.8,2.1,5.1,0.408,1.5,4.3,0.349,0.6,0.9,0.7,0.553,0.4,0.7,0.52,1,4.1,5.1,1.6,0.9,0.5,0.3,1.9,6,
340,James Wiseman,23,IND,C,1,0,5,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,0,0,0,0,0,6,
341,Alex Caruso,30,OKC,SG,31,1,19.3,2.3,5.7,0.401,1,3.3,0.304,1.3,2.4,0.533,0.489,0.4,0.5,0.786,0.7,2.1,2.8,2.5,1.7,0.5,0.6,2,5.9,
342,Talen Horton-Tucker,24,CHI,SG,40,0,11.5,2.1,4.6,0.457,0.8,2,0.383,1.3,2.6,0.515,0.541,0.9,1.2,0.729,0.4,1.4,1.7,1.3,0.4,0.2,0.7,1,5.9,
343,Marcus Sasser,24,DET,PG,41,0,14.2,2.2,4.9,0.453,0.9,2.5,0.34,1.4,2.4,0.571,0.54,0.6,0.6,0.885,0.3,0.9,1.2,2.3,0.7,0.1,1,1.3,5.9,
344,Jamal Shead,22,TOR,PG,46,1,17.2,2.3,5.4,0.419,0.8,2.3,0.352,1.4,3,0.471,0.496,0.5,0.7,0.727,0.3,0.9,1.2,3.6,0.6,0.1,1.5,1.9,5.9,
345,Ben Sheppard,23,IND,SG,37,8,20.6,2.1,5.1,0.422,1.3,3.5,0.369,0.8,1.5,0.544,0.551,0.3,0.4,0.857,0.7,1.9,2.6,1.3,0.6,0.3,0.3,2.2,5.9,
346,Rob Dillingham,20,MIN,PG,28,1,12.1,2.4,5.1,0.476,0.8,2,0.393,1.6,3.1,0.529,0.552,0.1,0.3,0.429,0.2,0.9,1.1,2.5,0.4,0,1.4,1,5.8,
347,Kris Dunn,30,LAC,PG,45,29,22.5,2.4,5.7,0.412,0.9,3,0.299,1.5,2.7,0.537,0.49,0.2,0.3,0.5,0.7,2.6,3.4,2.8,1.5,0.3,1.1,2.5,5.8,
348,Javonte Green,31,NOP,SG,47,17,22,2,4.5,0.443,0.8,2.1,0.364,1.2,2.4,0.514,0.529,1.1,1.4,0.758,1,2.5,3.6,0.9,1.1,0.6,0.6,1.6,5.8,
349,Isaac Okoro,24,CLE,SG,28,16,19.7,2,4.7,0.427,1.1,2.8,0.397,0.9,1.9,0.472,0.546,0.6,0.9,0.72,0.8,1.3,2.1,1.6,0.7,0.4,0.4,2,5.8,
350,Keaton Wallace,25,ATL,PG,24,3,17.3,2.2,5.1,0.423,1,2.7,0.354,1.2,2.4,0.5,0.516,0.5,0.5,1,0.2,1.3,1.5,2.3,0.9,0.3,1.2,1.3,5.8,
351,Jaylin Williams,22,OKC,PF,24,5,17,2.1,5.4,0.392,1.2,3.7,0.315,1,1.7,0.561,0.5,0.4,0.4,1,1.5,4.3,5.8,2.5,0.5,0.7,0.8,1.8,5.8,
352,Alec Burks,33,MIA,SG,26,0,16.2,1.8,4.3,0.411,1.4,3.2,0.429,0.4,1.1,0.357,0.571,0.8,1,0.808,0.3,1.8,2.1,1.1,0.6,0.2,0.3,0.7,5.7,
353,Jaxson Hayes,24,LAL,C,29,8,17.8,2.2,3.3,0.677,0,0.1,0,2.2,3.2,0.691,0.677,1.2,1.6,0.739,1.4,2.9,4.3,1,0.5,1,0.7,2.1,5.7,
354,Quenton Jackson,26,IND,PG,18,7,14.1,2.2,4.2,0.513,0.5,1.3,0.375,1.7,2.9,0.577,0.572,0.8,1.2,0.714,0.6,0.9,1.5,1.7,0.5,0.3,0.6,1.8,5.7,
355,Isaiah Stewart,23,DET,C,47,3,20.2,2.3,4.3,0.529,0.2,0.7,0.265,2.1,3.6,0.582,0.551,0.9,1.1,0.82,2,3.8,5.8,1.7,0.4,1.3,0.9,2.4,5.7,
